Time,half,zero,max
0,1.13427927868792,1.16116333399712,1.15368329219
6,1.10996470308406,1.139057549471,1.1438838416657
12,1.09119450445732,1.1225414077539,1.12837364646896
18,1.1065943949378,1.19090354487336,1.15244753921882
24,1.10996470308406,1.12837364646896,1.15740921957739
30,1.14998552285087,1.12954871801977,1.164945658796
36,1.12837364646896,1.14753564717559,1.22950121332903
42,1.13190806025914,1.12022887873567,1.1975990221767
48,1.14509805865253,1.20030086618358,1.20848789054408
54,1.14875904669098,1.164945658796,1.23523872305653
60,1.19894825866575,1.1975990221767,1.238129085172
66,1.22807569366166,1.1674832259157,1.44996217772611
72,1.16875678539316,1.20574534024251,1.31852423616949
78,1.17517264229543,1.21819626228979,1.3436842191273
84,1.24688676770043,1.21124439157917,1.27549532680409
90,1.29745086651863,1.27858571851138,1.29904799559205
96,1.27858571851138,1.32514424624314,1.34027656621923
102,1.31852423616949,1.31033976879837,1.31360143042014
108,1.3680058392435,1.36624123675914,1.33351012799634
114,1.35400739241122,1.36272470044598,1.3436842191273
120,1.38407909441045,1.40605471267915,1.34027656621923
126,1.45192564416153,1.42105753375828,1.37154782292967
132,1.45784336127442,1.45192564416153,1.38588650290597
138,1.50252691070112,1.49423225978599,1.40050193426875
144,1.52147098481195,1.4402136153474,1.4880616577182
150,1.51934667553311,1.46579882547397,1.53431899808856
156.163333333333,1.53431899808856,1.49217052733567,1.45192564416153
162,1.58522477392443,1.59664459065245,1.50252691070112
168,1.64122013899787,1.58295608506816,1.54080942744936
174,1.58522477392443,1.63405627962652,1.50670298125835
179.998333333333,1.60819281072797,1.6388269249659,1.48601417603177
185.998333333333,1.68520934731314,1.66544418777113,1.48397142906247
192,1.69271040698349,1.61051803185857,1.52787313646998
198,1.68770439427258,1.6902048536248,1.51934667553311
204,1.73095765448032,1.69773863218684,1.58295608506816
210,1.71550964817497,1.7413672257929,1.55172539967149
216,1.74398371708844,1.73875636380855,1.57618048140044
222,1.73355175520625,1.7361514613899,1.60124854610221
228,1.77313671009632,1.70026091909971,1.62222204336099
234,1.82233338522901,1.71807046346581,1.70026091909971
239.998333333333,1.80847957314407,1.7413672257929,1.58522477392443
245.998333333333,1.89088002048417,1.69271040698349,1.66544418777113
251.998333333333,1.82233338522901,1.78120684334937,1.92644910616584
257.998333333333,1.86765066458803,1.79750139701973,1.68770439427258
263.998333333333,1.88212427837552,1.79204676149283,2.10431777236062
269.998333333333,1.90263938564621,1.80572665115767,1.80023737800076
275.998333333333,1.93547829097527,1.83915032344395,1.75715047190545
281.998333333333,1.98769719557157,1.79750139701973,2.31777926627425
287.998333333333,1.97524838188587,1.80572665115767,1.82512161396089
293.998333333333,2.03206193936762,1.80572665115767,1.81123870830809
299.998333333333,2.02885165668931,1.8029791359161,1.82791571854014
305.998333333333,2.00339915632106,1.86477386105896,1.83352105387298
311.998333333333,2.06451708239302,1.83352105387298,1.90559436745524
318.161666666667,2.07767960909952,1.83915032344395,1.78120684334937
323.998333333333,2.22944869178214,1.87053343454513,1.89088002048417
329.998333333333,2.19028972176181,1.84197378548961,1.90559436745524
335.998333333333,2.37117055874494,1.90855497373121,1.92644910616584
341.998333333333,2.24027211496614,1.9690615258889,1.8307156790097
347.998333333333,2.24027211496614,1.87631687634977,1.8533266093074
353.998333333333,2.19381522932052,1.89969049447096,1.91152207096514
359.998333333333,2.31777926627425,1.92045999233919,1.91747458719353
365.998333333333,2.36731061609109,1.90559436745524,1.9690615258889
371.998333333333,2.36345777767255,1.92644910616584,2.04820885078973
377.998333333333,2.30277865799594,1.96289957840666,2.38668203130689
383.998333333333,2.34049095238063,1.93246271710768,1.87631687634977
389.998333333333,2.4101642574613,1.91747458719353,1.91152207096514
395.998333333333,2.29904603786839,2.00655855044135,1.99395877787841
401.998333333333,2.39839042553388,2.02885165668931,1.94456325774443
407.998333333333,2.4101642574613,1.98769719557157,2.00655855044135
413.998333333333,2.39839042553388,2.0224502700617,1.9690615258889
419.998333333333,2.49032842946885,2.10431777236062,2.0224502700617
425.998333333333,2.38279343857378,2.1797521976141,2.00655855044135
431.998333333333,2.46597139845521,2.07108560205947,2.09427974038958
437.998333333333,2.62476307147858,2.1416324708643,2.08762012152849
443.998333333333,2.61613424664318,2.02564775890501,2.08098657736291
449.998333333333,2.61613424664318,2.10767708340977,2.12118011655225
455.998333333333,2.67276902629201,2.11441540281008,2.37503769072782
461.998333333333,2.62044482132913,2.10096556370707,2.15194861513727
467.998333333333,2.55238692336759,2.09094668018533,2.55658400529345
473.998333333333,2.6290889619201,2.01925911831456,2.22226785659766
480.156666666667,2.73522060103202,2.10767708340977,2.26576720290187
485.998333333333,2.63342245717663,2.05797441680271,2.26576720290187
491.998333333333,2.61183125331443,1.9970992621227,2.2731139014387
497.998333333333,2.65958404126044,2.00339915632106,2.26210423371396
503.998333333333,2.65083255230562,2.01925911831456,2.28789074369205
509.998333333333,2.72620518661701,2.05145760754862,2.25844818631951
515.998333333333,2.69489796686368,2.01289639857719,2.19734800168259
521.998333333333,2.7127414256482,2.06451708239302,2.26943706504605
527.998333333333,2.67276902629201,2.0224502700617,2.22944869178214
533.998333333333,2.61183125331443,2.05471280447039,2.19028972176181
539.996666666667,2.73522060103202,2.00655855044135,2.34811830609893
545.996666666667,2.69045657164366,1.95676299723209,2.21511385726692
551.996666666667,2.65083255230562,1.95982842819855,2.18677044868317
557.996666666667,2.71722177722824,1.99082462298617,2.1797521976141
563.996666666667,2.64646838687665,2.00972430574882,2.15540068485794
569.996666666667,2.55658400529345,1.97524838188587,2.19381522932052
575.996666666667,2.67276902629201,2.000246052305,2.16927533482138
581.996666666667,2.49850581470022,1.96289957840666,2.15885943950524
587.996666666667,2.68602289069684,1.98146027143089,2.1416324708643
593.996666666667,2.5692196906989,2.01289639857719,2.12797122015576
599.996666666667,2.5692196906989,2.00972430574882,2.13478833238994
605.996666666667,2.54819734750893,2.04173114339784,2.10431777236062
611.996666666667,2.54401531160421,2.04173114339784,2.06451708239302
617.996666666667,2.51495075425186,2.02885165668931,2.10096556370707
623.996666666667,2.5190805258241,2.04173114339784,2.06451708239302
629.996666666667,2.56078860118226,2.05471280447039,2.05145760754862
636.16,2.55238692336759,2.05145760754862,2.00339915632106
641.996666666667,2.49032842946885,2.02564775890501,2.02564775890501
647.996666666667,2.43390677863916,2.03850165872713,1.98769719557157
653.996666666667,2.5190805258241,2.0224502700617,1.99082462298617
659.996666666667,2.47406097713919,2.01925911831456,1.98146027143089
665.996666666667,2.44988094240604,2.01607480500671,1.93850046480305
671.996666666667,2.56500067677179,1.95982842819855,1.89381080502622
677.996666666667,2.53151402994775,1.94760392296292,1.88503656143863
683.996666666667,2.51082837635206,1.95370376956167,1.87921759290547
689.996666666667,2.49032842946885,1.94760392296292,1.84763837519838
695.996666666667,2.44187925485544,1.95370376956167,1.85047954697541
701.996666666667,2.4458764482397,1.98146027143089,1.82233338522901
707.996666666667,2.4101642574613,2.01289639857719,1.80847957314407
713.996666666667,2.4458764482397,2.0352786148357,1.79750139701973
719.996666666667,2.44187925485544,2.02885165668931,1.79204676149283
